,School
690,"McArthur (Hollywood,FL)"
708,"Redondo Union (Redondo Beach,CA)"
711,"Churchill (San Antonio,TX)"
712,"Providence School (Jacksonville,FL)"
714,"Lakewood Ranch (Bradenton,FL)"
715,"Abbey Park (Oakville,ON)"
716,"Seminole (Sanford,FL)"
718,"Benedictine (Richmond,VA)"
719,"Harriton (Bryn Mawr,PA)"
725,"Stockbridge (Stockbridge,GA)"
726,"Iolani (Honolulu,HI)"
728,"Ayala (Chino Hills,CA)"
731,"Pembroke Hill (Kansas City,MO)"
737,"Loyd Star Attendance Center (Lincoln,MS)"
749,"Santa Cruz (Santa Cruz,CA)"
763,"Pleasant Valley (Chico,CA)"
765,"Americas (El Paso,TX)"
768,"Aliso Niguel (Aliso Viejo,CA)"
784,"St. Joseph (Trumbull,CT)"
791,"St. Rita of Cascia (Chicago,IL)"
813,"Horseheads (Horseheads,NY)"
817,"Junipero Serra (Gardena,CA)"
819,"Mobile Christian (Mobile,AL)"
832,"Pace (Pace,FL)"
843,"Vauxhall (Crowsnest pass,AB)"
879,"Terry Sanford (Fayetteville,NC)"
881,"Sahuarita (Sahuarita,AZ)"
909,"Homewood-Flossmoor (Flossmoor,IL)"
910,"Clovis (Clovis,CA)"
924,"International Baseball Academy (Ceiba,PR)"
947,"Heritage Hall (Oklahoma City,OK)"
950,"Jesuit College Prep (Dallas,TX)"
951,"East Catholic (Manchester,CT)"
952,"Red Land (Lewisberry,PA)"
955,"Winder-Barrow (Winder,GA)"
956,"North Cobb (Kennesaw,GA)"
957,"Calvary Christian Academy (Fort Lauderdale,FL)"
960,"Wake Forest-Rolesville (Wake Forest,NC)"
966,"Southridge (Huntingburg,IN)"
969,"Thousand Oaks (Thousand Oaks,CA)"
970,"Mainland Regional (Linwood,NJ)"
971,"Severna Park (Severna Park,MD)"
972,"Torrey Pines (San Diego,CA)"
973,"UMS Wright Prep (Mobile,AL)"
974,"Carroll (Fort Pierce,FL)"
978,"Baylor School (Chattanooga,TN)"
980,"Ozaukee (Fredonia,WI)"
981,"Bishop Eustace Preparatory School (Pennsauken,NJ)"
983,"Friendswood (Friendswood,TX)"
987,"Blue Valley Southwest (Leawood,KS)"
991,"Trinity (Louisville,KY)"
992,"Arecibo Baseball Academy (Bajadero,PR)"
998,"Dexter (Brookline,MA)"
1000,"James Madison (Vienna,VA)"
1001,"Desert Mountain (Scottsdale,AZ)"
1008,"Malvern Preparatory School (Malvern,PA)"
1016,"North Oconee (Bogart,GA)"
1017,"Barbers Hill (Mount Belvieu,TX)"
1021,"Central Florida Elev8 (Delray Beach,FL)"
1022,"Park Hill (Kansas City,MO)"
1027,"East Pennsboro Area (Enola,PA)"
1028,"Reedy (Frisco,TX)"
1031,"Bishop Gorman (Las Vegas,NV)"
1032,"Pensacola Catholic (Pensacola,FL)"
1036,"Hamilton (Chandler,AZ)"
1039,"Lakeland Christian (Lakeland,FL)"
1044,"Parkview (Lilburn,GA)"
1045,"Gilman School (Baltimore,MD)"
1046,"U-32 (Montpelier,VT)"
1047,"Wahlert (Dubuque,IA)"
1052,"Red Bank Catholic (Red Bank,NJ)"
1058,"Trenton (Trenton,MI)"
1087,"Dorman (Roebuck,SC)"
1099,"Silverado (Las Vegas,NV)"
1110,"Bonita Vista (Chula Vista,CA)"
1119,"Tampa Prep (Tampa,FL)"
1155,"Regis Jesuit (Aurora,CO)"
1156,"Mosley (Panama City,FL)"
1171,"Aledo (Aledo,TX)"
1172,"Stoneman Douglas (Parkland,FL)"
1191,"McKinney-Boyd (McKinney,TX)"
1209,"Heritage (Brentwood,CA)"
1258,"The Wesleyan School (Norcross,GA)"
1260,"Mays (Atlanta,GA)"
1271,"Buford (Buford,GA)"
1276,"Riverside-Brookfield (Brookfield,IL)"
1277,"North Allegheny (Wexford,PA)"
1282,"Oswego East (Oswego,IL)"
1285,"East Forsyth (Kernersville,NC)"
1291,"Bainbridge (Bainbridge,GA)"
1295,"McQueen (Reno,NV)"
1297,"Liberty (Bakersfield,CA)"
1302,"Liberty Union (Baltimore,OH)"
1306,"Toutle Lake (Toutle,WA)"
1312,"Palo Alto (Palo Alto,CA)"
1313,"Boerne (Boerne,TX)"
1331,"Gonzaga College (Washington,DC)"
1333,"Hammond (Columbia,SC)"
1341,"Liberty (Liberty,MO)"
1342,"Temecula Valley (Temecula,CA)"
1358,"Northern Collegiate (Sarnia,ON)"
1365,"Orchard Lake St Mary's Prep (Orchard Lake,MI)"
1366,"Troy (Troy,NY)"
