,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
34,,2017,2,71,June-Reg,Tyler Freeman,Cleveland Baseball Team,ss,0.82,Yes,MLB,2022-2023,2017-2023,HS,"Etiwanda (Etiwanda,CA)",CA,ss-2b,6-0,190,R,R,1999-05-21,"Rancho Cucamonga,CA"
35,,2017,2,72,June-Reg,Conner Uselton,Pittsburgh Pirates,of,0.90,Yes,Rk,--,2017-2021,HS,"Southmoore (Moore,OK)",OK,of,6-3,185,R,R,1998-05-20,"Oklahoma City,OK"
36,,2017,2,73,June-Reg,Evan Steele,Kansas City Royals,p,0.83,Yes,A,--,2016-2019,College,Chipola,FL,p,6-5,210,R,L,1996-11-14,"Marietta,GA"
37,,2017,2,74,June-Reg,Zac Lowther,Baltimore Orioles,p,0.78,Yes,MLB,2021-2022,2015-2022,College,Xavier,OH,p,6-2,235,L,L,1996-04-30,"Middleburg Heights,OH"
38,,2017,2,75,June-Reg,J.J. Matijevic,Houston Astros,2b,0.70,Yes,MLB,2022-2022,2015-2023,College,Arizona,AZ,1b-lf,5-11,211,L,R,1995-11-14,"North Huntington,PA"
39,39 record(s),,,,,,,,,,,,,,,,,,,,,,
0,,2017,3,76,June-Reg,Blayne Enlow,Minnesota Twins,p,2.00,Yes,AA,--,2017-2023,HS,"St. Amant (St. Amant,LA)",LA,p,6-3,170,R,R,1999-03-21,"Sorrento,LA"
1,,2017,3,77,June-Reg,Jacob Heatherly,Cincinnati Reds,p,1.05,Yes,A,--,2017-2023,HS,"Cullman (Cullman,AL)",AL,p,6-1,215,L,L,1998-05-20,"Cullman,AL"
2,,2017,3,78,June-Reg,Mason House,San Diego Padres,cf,0.73,Yes,A-,--,2017-2019,HS,"Whitehouse (Whitehouse,TX)",TX,of,6-3,190,L,L,1998-09-10,"Lompoc,CA"
3,,2017,3,79,June-Reg,Taylor Walls,Tampa Bay Rays,ss,0.61,Yes,MLB,2021-2023,2015-2023,College,Florida State,FL,ss-2b,5-10,180,B,R,1996-07-10,"Cordele,GA"
4,,2017,3,80,June-Reg,Freddy Tarnok,Atlanta Braves,p,1.45,Yes,MLB,2022-2022,2017-2022,HS,"Riverview (Riverview,FL)",FL,p,6-3,185,R,R,1998-11-24,"Brandon,FL"
5,,2017,3,81,June-Reg,Nick Allen,Oakland Athletics,ss,2.00,Yes,MLB,2022-2023,2017-2023,HS,"Francis Parker (San Diego,CA)",CA,ss-2b,5-8,166,R,R,1998-10-08,"San Diego,CA"
6,,2017,3,82,June-Reg,Matt Tabor,Arizona Diamondbacks,p,1.00,Yes,AAA,--,2017-2022,HS,"Milton Academy (Hingham,MA)",MA,p,6-2,180,R,R,1998-07-14,"Milton,MA"
7,,2017,3,83,June-Reg,Connor Seabold,Philadelphia Phillies,p,0.53,Yes,MLB,2021-2023,2015-2023,College,Cal State Fullerton,CA,p,6-3,190,R,R,1996-01-24,"Laguna Hills,CA"
8,,2017,3,84,June-Reg,K.J. Harrison,Milwaukee Brewers,c,0.67,Yes,AA,--,2015-2022,College,Oregon State,OR,1b,6-0,208,R,R,1996-08-11,"Kailua,HI"
9,,2017,3,85,June-Reg,Jacob Pearson,Los Angeles Angels,cf,1.00,Yes,AAA,--,2017-2023,HS,"West Monroe (West Monroe,LA)",LA,cf-rf,6-1,185,L,R,1998-06-01,"West Monroe,LA"
10,,2017,3,86,June-Reg,Will Gaddis,Colorado Rockies,p,0.60,Yes,AAA,--,2015-2023,College,Furman,SC,p,6-1,185,R,R,1996-03-12,"merrimack,NH"
11,,2017,3,87,June-Reg,Luis Gonzalez,Chicago White Sox,cf,0.52,Yes,MLB,2020-2022,2015-2022,College,New Mexico,NM,rf-lf,6-1,180,L,L,1995-09-10,"Hermosillo,MX"
12,,2017,3,88,June-Reg,Dylan Busby,Pittsburgh Pirates,3b,0.58,Yes,AAA,--,2015-2022,College,Florida State,FL,3b,6-3,190,R,R,1995-11-28,"Sarasota,FL"
13,,2017,3,89,June-Reg,Riley Mahan,Miami Marlins,2b,0.53,Yes,AA,--,2015-2023,College,Kentucky,KY,2b-3b,6-3,185,L,R,1995-12-31,"West Chester,OH"
14,,2017,3,90,June-Reg,Daniel Tillo,Kansas City Royals,p,0.56,Yes,AAA,--,2016-2023,College,Iowa Western CC,IA,p,6-5,215,L,L,1996-06-13,"Sioux City,IA"
15,,2017,3,91,June-Reg,Tyler Ivey,Houston Astros,p,0.45,Yes,MLB,2021-2021,2016-2022,College,Grayson County,TX,p,6-4,195,R,R,1996-05-12,"Rowlett,TX"
16,,2017,3,92,June-Reg,Trevor Stephan,New York Yankees,p,0.80,Yes,MLB,2021-2023,2015-2023,College,Arkansas,AR,p,6-5,225,R,R,1995-11-25,"Magnolia,TX"
17,,2017,3,93,June-Reg,Wyatt Mills,Seattle Mariners,p,0.13,Yes,MLB,2021-2022,2014-2022,College,Gonzaga,WA,p,6-3,185,R,R,1995-01-25,"Spokane,WA"
18,,2017,3,94,June-Reg,Scott Hurst,St. Louis Cardinals,cf,0.45,Yes,MLB,2021-2021,2015-2023,College,Cal State Fullerton,CA,cf-rf,5-10,175,L,R,1996-03-25,"Glendora,CA"
19,,2017,3,95,June-Reg,Joey Morgan,Detroit Tigers,c,0.56,Yes,AAA,--,2015-2019,College,Washington,WA,c,6-0,183,R,R,1996-08-26,"Sisters,OR"
20,,2017,3,96,June-Reg,Seth Corry,San Francisco Giants,p,1.00,Yes,A+,--,2017-2022,HS,"Lone Peak (Alpine,UT)",UT,p,6-2,195,L,L,1998-11-03,"Alpine,UT"
21,,2017,3,97,June-Reg,Quinn Brodey,New York Mets,rf,0.50,Yes,AAA,--,2015-2023,College,Stanford,CA,rf-lf,6-1,195,L,L,1995-12-01,"Los Angeles,CA"
22,,2017,3,98,June-Reg,Mike Baumann,Baltimore Orioles,p,0.50,Yes,MLB,2021-2023,2015-2023,College,Jacksonville,FL,p,6-4,200,R,R,1995-09-10,"Mahtomedi,MN"
23,,2017,3,99,June-Reg,Riley Adams,Toronto Blue Jays,c,0.54,Yes,MLB,2021-2023,2015-2023,College,San Diego,CA,c,6-5,190,R,R,1996-06-26,"San Diego,CA"
24,,2017,3,100,June-Reg,Connor Wong,Los Angeles Dodgers,c,0.55,Yes,MLB,2021-2023,2015-2023,College,Houston,TX,c,6-1,181,R,R,1996-05-19,"Houston,TX"
25,,2017,3,101,June-Reg,Brett Netzer,Boston Red Sox,2b,0.48,Yes,AA,--,2015-2019,College,UNC Charlotte,NC,if,6-0,180,L,R,1996-06-04,"Tega Cay,SC"
26,,2017,3,102,June-Reg,Johnathan Rodriguez,Cleveland Baseball Team,of,0.45,Yes,AA,--,2017-2023,HS,"Carlos Beltran Baseball Academy (Florida,PR)",PR,lf-rf,6-3,180,R,R,1999-11-04,"Toa Baja,PR"
27,,2017,3,103,June-Reg,Nick Raquet,Washington Nationals,p,0.48,Yes,A+,--,2015-2019,College,William and Mary,VA,p,6-0,213,R,L,1995-12-12,"Boalsburg,PA"
28,,2017,3,104,June-Reg,Matt Whatley,Texas Rangers,c,0.52,Yes,AAA,--,2015-2023,College,Oral Roberts,OK,c,5-10,190,R,R,1996-01-07,"Claremore,OK"
29,,2017,3,105,June-Reg,Keegan Thompson,Chicago Cubs,p,0.51,Yes,MLB,2021-2023,2014-2023,College,Auburn,AL,p,6-1,208,R,R,1995-03-13,"Cullman,AL"
30,30 record(s),,,,,,,,,,,,,,,,,,,,,,
0,,2017,4,106,June-Reg,Charlie Barnes,Minnesota Twins,p,0.45,Yes,MLB,2021-2021,2015-2021,College,Clemson,SC,p,6-1,170,L,L,1995-10-01,"Sumter,SC"
1,,2017,4,107,June-Reg,Cash Case,Cincinnati Reds,ss,1.00,Yes,Rk,--,2017-2019,HS,"The First Academy (orlando,FL)",FL,ss,6-1,190,L,R,1999-05-12,"Clearwater,FL"
2,,2017,4,108,June-Reg,Sam Keating,San Diego Padres,p,0.90,Yes,A+,--,2017-2022,HS,"Canterbury School (Fort Myers,FL)",FL,p,6-3,190,R,R,1998-08-31,"Fort Myers,FL"
3,,2017,4,109,June-Reg,Drew Strotman,Tampa Bay Rays,p,0.37,Yes,AAA,--,2015-2023,College,St. Mary's (CA),CA,p,6-3,175,R,R,1996-09-03,"Sunnyvale,CA"
4,,2017,4,110,June-Reg,Troy Bacon,Atlanta Braves,p,0.40,Yes,AA,--,2016-2022,College,Santa Fe CC,FL,p,6-0,165,R,R,1996-09-26,"Tampa,FL"
5,,2017,4,111,June-Reg,Will Toffey,Oakland Athletics,3b,0.48,Yes,AAA,--,2015-2022,College,Vanderbilt,TN,3b-1b,6-2,195,L,R,1994-12-31,"Wareham,MA"
6,,2017,4,112,June-Reg,Harrison Francis,Arizona Diamondbacks,p,0.48,Yes,A,--,2017-2022,HS,"Lawton Chiles (Tallahassee,FL)",FL,p,6-2,195,R,R,1998-10-26,"Tallahassee,FL"
7,,2017,4,113,June-Reg,Jake Scheiner,Philadelphia Phillies,3b,0.38,Yes,AAA,--,2015-2023,College,Houston,TX,1b,6-1,200,R,R,1995-08-13,"San Mateo,CA"
8,,2017,4,114,June-Reg,Brendan Murphy,Milwaukee Brewers,p,0.50,Yes,A,--,2017-2021,HS,"Mundelein (Mundelein,IL)",IL,p,6-4,200,L,L,1999-01-02,"Lake Forest,IL"
9,,2017,4,115,June-Reg,John Swanda,Los Angeles Angels,p,0.63,Yes,AAA,--,2017-2023,HS,"Roosevelt (Des Moines,IA)",IA,p,6-2,185,R,R,1999-03-18,"Des Moines,IA"
10,,2017,4,116,June-Reg,Pearson McMahan,Colorado Rockies,p,0.43,Yes,AAA,--,2016-2022,College,St. Johns River CC,FL,p,6-3,180,L,R,1996-07-01,"Orange Park,FL"
11,,2017,4,117,June-Reg,Lincoln Henzman,Chicago White Sox,p,0.45,Yes,AAA,--,2015-2023,College,Louisville,KY,p,6-2,194,R,R,1995-07-04,"Lexington,KY"
12,,2017,4,118,June-Reg,Jason Delay,Pittsburgh Pirates,c,0.10,Yes,MLB,2022-2023,2014-2023,College,Vanderbilt,TN,c,6-0,190,R,R,1995-03-07,"Sugar Land,TX"
13,,2017,4,119,June-Reg,Colton Hock,Miami Marlins,p,0.50,Yes,AAA,--,2015-2023,College,Stanford,CA,p,6-5,220,R,R,1996-03-15,"Bloomsburg,PA"
14,,2017,4,120,June-Reg,Michael Gigliotti,Kansas City Royals,cf,0.40,Yes,AAA,--,2015-2023,College,Lipscomb,TN,cf,6-1,180,L,L,1996-02-14,"Fort Lauderdale,FL"
15,,2017,4,121,June-Reg,Peter Solomon,Houston Astros,p,0.42,Yes,MLB,2021-2023,2015-2023,College,Notre Dame,IN,p,6-4,185,R,R,1996-08-16,"Washington,DC"
16,,2017,4,122,June-Reg,Canaan Smith-Njigba,New York Yankees,rf,0.50,Yes,MLB,2022-2023,2017-2023,HS,"Rockwall-Heath (Rockwall,TX)",TX,lf-rf,6-0,230,L,R,1999-04-30,"Dallas,TX"
17,,2017,4,123,June-Reg,Seth Elledge,Seattle Mariners,p,0.40,Yes,MLB,2020-2021,2015-2023,College,Dallas Baptist,TX,p,6-3,240,R,R,1996-05-20,"Frisco,TX"
18,,2017,4,124,June-Reg,Kramer Robertson,St. Louis Cardinals,ss,0.15,Yes,MLB,2022-2022,2014-2023,College,LSU,LA,ss-2b,5-10,160,R,R,1994-09-20,"Ruston,LA"
19,,2017,4,125,June-Reg,Gio Arriera,Detroit Tigers,p,0.33,Yes,A+,--,2017-2022,College,Palm Beach State,FL,p,6-2,236,R,R,1998-06-07,"Hialeah,FL"
20,,2017,4,126,June-Reg,Garrett Cave,San Francisco Giants,p,0.42,Yes,A+,--,2015-2019,College,Tampa,FL,p,6-4,180,R,R,1996-07-18,"Bushnell,FL"
21,,2017,4,127,June-Reg,Tony Dibrell,New York Mets,p,0.38,Yes,AAA,--,2015-2023,College,Kennesaw State,GA,p,6-3,190,R,R,1995-11-08,"Alpharetta,GA"
22,,2017,4,128,June-Reg,Jack Conlon,Baltimore Orioles,p,0.00,No,College,--,2018-2019,HS,"Clements School (Sugar Land,TX)",TX,p,6-5,220,R,R,1998-11-10,"Sugar Land,TX"
